Br,,brain,,,,,,,,,,,,,,,,,
F,,,forebrain (prosencephalon),,,,,,,,,,,,,,,,
FGM,,,,gray matter of forebrain,,,,,,,,,,,,,,,
Tel,,,,,telencephalon,,,,,,,,,,,,,,
Cx,,,,,,cerebral cortex,,,,,,,,,,,,,
NCx,,,,,,,neocortex (isocortex),,,,,,,,,,,,
FCx,,,,,,,,frontal neocortex,,,,,,,,,,,
PFC,,,,,,,,,prefrontal cortex,,,,,,,,,,
A10,,,,,,,,,,frontal polar cortex (area 10),,,,,,,,,
A10m,,,,,,,,,,,medial subdivision of area 10,,,,,,,,
A10l,,,,,,,,,,,lateral subdivision of area 10,,,,,,,,
A10o,,,,,,,,,,,orbital subdivision of area 10,,,,,,,,
DFC,,,,,,,,,,dorsolateral prefrontal cortex,,,,,,,,,
A8,,,,,,,,,,,"caudal portion of DFC (area 8, area FC)",,,,,,,,
A8ld,,,,,,,,,,,,laterodorsal subdivision of area 8,,,,,,,
A8lv,,,,,,,,,,,,lateroventral subdivision of area 8,,,,,,,
A8m,,,,,,,,,,,,medial subdivision of area 8,,,,,,,
A9,,,,,,,,,,,rostrodorsal portion of DFC (area 9),,,,,,,,
A9l,,,,,,,,,,,,lateral subdivision of area 9,,,,,,,
A9m,,,,,,,,,,,,medial subdivision of area 9,,,,,,,
A9/46,,,,,,,,,,,intermediate portion of DFC (area 9/46),,,,,,,,
A9/46d,,,,,,,,,,,,dorsal subdivision of A9/46,,,,,,,
A9/46v,,,,,,,,,,,,ventral subdivision of A9/46,,,,,,,
A46,,,,,,,,,,,rostroventral portion of DFC (area 46),,,,,,,,
A46d,,,,,,,,,,,,dorsal subdivision of area 46,,,,,,,
A46v,,,,,,,,,,,,ventral subdivision of area 46,,,,,,,
VFC,,,,,,,,,,ventrolateral prefrontal cortex (Broca's area for left side),,,,,,,,,
A44,,,,,,,,,,,caudal portion of VFC (area 44),,,,,,,,
A44d,,,,,,,,,,,,dorsal subdivision of area 44,,,,,,,
A44v,,,,,,,,,,,,ventral subdivision of area 44,,,,,,,
A44op,,,,,,,,,,,,opercular subdivision of area 44,,,,,,,
A45,,,,,,,,,,,rostral portion of VFC (area 45),,,,,,,,
A45r,,,,,,,,,,,,rostral subdivision of A45,,,,,,,
A45c,,,,,,,,,,,,caudal subdivision of A45,,,,,,,
A45op,,,,,,,,,,,,opercular subdivision of A45,,,,,,,
